,rooms,renovation,materials,facilities,prices,negotiations,floors,total_floors,city,district,street,living_squares,home_area(acres²)
31,3,Author's design,Panel,1,185000.0,1,8,9,Tashkent city,Mirabad district,Aybek Street,130.0,130.0
32,4,Euro renovation,Monolythic,0,80000.0,0,9,9,Tashkent city,Almazar district,Quarter 1/4,97.0,97.0
33,3,Euro renovation,Brick,1,175000.0,0,5,8,Tashkent city,Yashnobodsky district,Massive Tashselmash,109.0,109.0
34,3,Euro renovation,Brick,0,180000.0,0,2,10,Tashkent city,Mirzo-Ulugbek district,Asaka street,98.0,98.0
35,2,Euro renovation,Brick,0,69000.0,0,7,9,Tashkent city,Mirzo-Ulugbek district,Saram Street,44.5,44.5
36,2,Euro renovation,Brick,0,75800.0,0,8,9,Tashkent city,Mirzo-Ulugbek district,Saram Street,48.88,48.88
37,2,Rough finish,Monolythic,0,84263.36,0,10,11,Tashkent city,Mirabad district,Hamal Street,68.29,68.29
38,3,Euro renovation,Brick,0,100000.0,0,8,10,Tashkent city,Mirzo-Ulugbek district,Saram Street,69.23,69.23
39,2,Medium,Brick,0,65500.0,0,4,4,Tashkent city,Yakkasarai district,Street Shota Rustaveli,52.0,52.0
40,1,Euro renovation,Panel,0,62000.0,0,1,5,Tashkent city,Mirzo-Ulugbek district,Makhalinsky gathering citizens of Sultonia,39.0,39.0
41,3,Rough finish,Brick,0,100000.0,0,9,10,Tashkent city,Mirzo-Ulugbek district,Saram Street,76.14,76.14
42,1,Requires repairs,Panel,0,40000.0,0,4,4,Tashkent city,Yunusabad district,7th quarter,37.0,37.0
43,2,Euro renovation,Monolythic,1,72000.0,0,15,16,Tashkent city,Mirzo-Ulugbek district,Avihon street,76.6,76.6
44,3,Euro renovation,Brick,0,103000.0,0,8,8,Tashkent city,Mirzo-Ulugbek district,Saram Street,87.8,87.8
45,3,Euro renovation,Brick,0,188000.0,0,5,9,Tashkent city,Yashnobodsky district,Makhalinsky gathering of citizens of the TRACK,131.0,131.0
46,1,Euro renovation,Brick,0,51000.0,0,1,4,Tashkent city,Mirzo-Ulugbek district,Makhalinsky gathering of citizens Shakhriabad,25.0,25.0
47,2,Euro renovation,Brick,0,75000.0,0,3,9,Tashkent city,Mirabad district,Alfraganus residential complex,52.0,52.0
48,3,Euro renovation,Brick,0,103000.0,0,9,10,Tashkent city,Mirzo-Ulugbek district,Saram Street,69.23,69.23
49,3,Euro renovation,Brick,0,90000.0,1,1,5,Tashkent city,Yunusabad district,Makhalinsky gathering of citizens Kushchinor,70.0,70.0
50,2,Rough finish,Monolythic,0,84263.36,0,10,11,Tashkent city,Mirabad district,Hamal Street,68.29,68.29
51,3,Euro renovation,Brick,0,99000.0,0,2,9,Tashkent city,Yashnobodsky district,Street Parkent,62.0,62.0
52,3,Euro renovation,Brick,0,123000.0,0,4,9,Tashkent city,Yashnobodsky district,Street Parkent,96.0,96.0
53,2,Euro renovation,Panel,0,65000.0,0,4,4,Tashkent city,Mirzo-Ulugbek district,Makhalinsky gathering citizens of Sultonia,60.0,60.0
54,2,Medium,Panel,0,56500.0,0,2,4,Tashkent city,Mirzo-Ulugbek district,Makhalinsky gathering of citizens Shakhriabad,48.0,48.0
55,2,Requires repairs,Panel,0,70000.0,0,1,9,Tashkent city,Yashnobodsky district,Makhalinsky gathering of citizens of the TRACK,60.0,60.0
56,2,Rough finish,Monolythic,0,89852.95,0,8,11,Tashkent city,Mirabad district,Hamal Street,72.82,72.82
57,2,Euro renovation,Brick,0,61000.0,0,9,9,Tashkent city,Mirzo-Ulugbek district,Hirmontep Street,58.0,58.0
58,2,Euro renovation,Brick,0,80500.0,0,7,7,Tashkent city,Mirzo-Ulugbek district,3rd street Navnikhol,65.0,65.0
59,2,Euro renovation,Panel,0,62800.0,0,3,4,Tashkent city,Chilanzar district,Makhalinsky gathering of Ak-Tepa citizens,45.0,45.0
60,3,Medium,Panel,1,64000.0,0,5,5,Tashkent city,Yunusabad district,Makhalinsky gathering of citizens Begobors,80.0,80.0
61,1,Author's design,Panel,0,41000.0,1,4,5,Tashkent city,Yashnobodsky district,2nd passage of the air center,42.0,42.0
62,1,Rough finish,Monolythic,1,49837.42,0,10,11,Tashkent city,Mirabad district,Hamal Street,40.39,40.39
63,2,Requires repairs,Brick,0,70000.0,0,1,5,Tashkent city,Mirabad district,Abdurafa Fitrate street,60.0,60.0
64,3,Medium,Brick,0,70000.0,0,2,4,Tashkent city,Yashnobodsky district,Mukhtar Ashrafi Street,70.0,70.0
65,2,Medium,Brick,1,66000.0,0,3,4,Tashkent city,Chilanzar district,8th quarter,52.0,52.0
66,4,Euro renovation,Brick,1,168000.0,0,12,14,Tashkent city,Yakkasarai district,Askiya Street,140.0,140.0
67,3,Medium,Monolythic,0,58000.0,0,4,5,Tashkent city,Almazar district,Makhalinsky gathering of Altynsai citizens,70.0,70.0
68,5,Euro renovation,Brick,1,165000.0,1,5,6,Tashkent city,Orthodpinsky district,Makhalinsky gathering citizens,150.0,150.0
69,2,Requires repairs,Brick,1,180000.0,0,17,21,Tashkent city,Almazar district,Makhalinsky gathering of Urda citizens,72.0,72.0
70,3,Medium,Brick,1,130000.0,0,4,4,Tashkent city,Chilanzar district,Quarter and,116.0,116.0
71,3,Euro renovation,Brick,0,102000.0,0,2,4,Tashkent city,Mirabad district,Sarykul Street,65.0,65.0
72,2,Euro renovation,Brick,0,45000.0,0,1,2,Tashkent city,Yashnobodsky district,Mukhtar Ashrafi Street,53.0,53.0
73,1,Medium,Brick,0,40000.0,0,1,4,Tashkent city,Sergeli district,The street is sorted,25.0,25.0
74,2,Euro renovation,Monolythic,1,72000.0,0,15,16,Tashkent city,Mirzo-Ulugbek district,Avihon street,76.6,76.6
75,2,Euro renovation,Monolythic,1,72000.0,0,15,16,Tashkent city,Mirzo-Ulugbek district,Avihon street,76.6,76.6
76,2,Medium,Brick,0,43700.0,0,1,2,Tashkent city,Mirabad district,Abu Suleiman Banokati Street,50.0,50.0
77,1,Requires repairs,Brick,0,35700.0,0,2,4,Tashkent city,Mirabad district,The street is sorted,30.0,30.0
78,2,Medium,Panel,0,55000.0,0,2,5,Tashkent city,Sergeli district,Makhalinsky gathering citizens,61.0,61.0
79,3,Medium,Panel,0,68500.0,0,6,9,Tashkent city,Mirabad district,Saikhun Street,70.0,70.0
80,2,Medium,Panel,0,56000.0,0,3,9,Tashkent city,Mirabad district,Abdurafa Fitrate street,60.0,60.0
81,1,Rough finish,Monolythic,1,42705.45,0,3,11,Tashkent city,Mirabad district,Hamal Street,34.61,34.61
82,3,Medium,Brick,0,63800.0,0,4,4,Tashkent city,Mirabad district,Tallimarzhon Street,70.0,70.0
83,1,Euro renovation,Brick,0,55450.0,1,1,5,Tashkent city,Orthodpinsky district,26th quarter,42.0,42.0
84,1,Euro renovation,Brick,0,50950.0,1,2,4,Tashkent city,Chilanzar district,Makhalinsky gathering of citizens Dilabad,30.0,30.0
85,1,Medium,Brick,0,47550.0,1,1,4,Tashkent city,Chilanzar district,4th quarter,30.0,30.0
86,1,Requires repairs,Panel,0,43000.0,0,2,4,Tashkent city,Yunusabad district,7th quarter,38.0,38.0
87,5,Euro renovation,Brick,1,165000.0,1,5,6,Tashkent city,Orthodpinsky district,Makhalinsky gathering citizens,150.0,150.0
88,1,Author's design,Brick,1,42000.0,0,2,4,Tashkent city,Yunusabad district,Makhalinsky gathering of citizens Begobors,42.0,42.0
89,4,Requires repairs,Brick,0,63000.0,0,2,4,Tashkent city,Mirabad district,Abdurafa Fitrate street,80.0,80.0
90,2,Medium,Panel,0,55900.0,0,3,9,Tashkent city,Mirabad district,Abdurafa Fitrate street,60.0,60.0
91,2,Euro renovation,Brick,0,80500.0,0,3,10,Tashkent city,Mirzo-Ulugbek district,3rd quarter,50.0,50.0
92,3,Medium,Brick,0,63000.0,0,4,4,Tashkent city,Mirabad district,Tallimarzhon Street,7.0,7.0
93,1,Rough finish,Monolythic,1,49837.42,0,10,11,Tashkent city,Mirabad district,Hamal Street,40.39,40.39
94,3,Euro renovation,Brick,0,125000.0,0,8,15,Tashkent city,Yashnobodsky district,Street Parkent,90.0,90.0
95,2,Euro renovation,Brick,0,125000.0,0,9,11,Tashkent city,Yunusabad district,Street Nizbek Yuli,60.0,60.0
96,3,Euro renovation,Brick,0,105000.0,0,5,9,Tashkent city,Yashnobodsky district,Makhtumkuli street,65.0,65.0
97,2,Medium,Panel,0,82500.0,0,2,9,Tashkent city,Mirzo-Ulugbek district,Mustakillik Avenue,60.0,60.0
98,3,Euro renovation,Brick,0,130000.0,0,3,9,Tashkent city,Yashnobodsky district,Street Parkent,73.0,73.0
99,1,Rough finish,Monolythic,0,45888.92,0,4,11,Tashkent city,Mirabad district,Hamal Street,37.19,37.19
100,3,Euro renovation,Brick,0,90000.0,1,1,5,Tashkent city,Yunusabad district,Makhalinsky gathering of citizens Kushchinor,70.0,70.0
101,3,Euro renovation,Panel,1,80000.0,1,3,5,Tashkent city,Sergeli district,Makhalinsky gathering of citizens Halkobod,78.0,78.0
102,2,Rough finish,Block,0,58400.0,0,4,9,Tashkent city,Yashnobodsky district,residential complex Shanghai resident,73.0,73.0
103,2,Euro renovation,Brick,1,67800.0,1,3,4,Tashkent city,Yunusabad district,Bogishamol street,56.0,56.0
104,2,Euro renovation,Panel,1,68900.0,1,3,4,Tashkent city,Chilanzar district,2nd quarter,50.0,50.0
105,3,Euro renovation,Brick,1,125000.0,1,4,5,Tashkent city,Yashnobodsky district,residential complex Parkent Village,74.0,74.0
106,3,Author's design,Panel,1,185000.0,1,8,9,Tashkent city,Mirabad district,Aybek Street,130.0,130.0
107,3,Euro renovation,Monolythic,1,180000.0,0,4,12,Tashkent city,Mirabad district,Street Nukus,128.0,128.0
108,3,Author's design,Brick,1,190000.0,0,6,10,Tashkent city,Yunusabad district,5th passage Nizbek Yuli,100.0,100.0
109,2,Euro renovation,Panel,1,96000.0,1,6,9,Tashkent city,Yunusabad district,Massive Kashgar,63.0,63.0
110,2,Euro renovation,Panel,1,69900.0,1,4,4,Tashkent city,Chilanzar district,Makhalinsky gathering of citizens of Qatartal,50.0,50.0
111,2,Euro renovation,Brick,1,81000.0,0,4,4,Tashkent city,Yunusabad district,Massive Kashgar,52.0,52.0
112,3,Rough finish,Monolythic,1,103499.94,0,7,11,Tashkent city,Mirabad district,Hamal Street,83.88,83.88
113,3,Author's design,Panel,0,90000.0,1,2,5,Tashkent city,Yashnobodsky district,1st quarter,78.0,78.0
114,4,Author's design,Brick,1,215000.0,1,8,10,Tashkent city,Yunusabad district,3rd passage Nizbek Yuli,116.0,116.0
115,3,Author's design,Panel,0,63500.0,0,3,4,Tashkent city,Chilanzar district,Makhalinsky gathering of Ak-Tepa citizens,45.0,45.0
116,2,Euro renovation,Panel,1,62750.0,1,3,4,Tashkent city,Chilanzar district,Makhalinsky gathering of Ak-Tepa citizens,50.0,50.0
117,3,Euro renovation,Brick,1,87000.0,0,4,4,Tashkent city,Chilanzar district,8th quarter,70.0,70.0
118,2,Rough finish,Monolythic,0,89852.95,0,8,11,Tashkent city,Mirabad district,Hamal Street,72.82,72.82
119,2,Medium,Brick,0,61000.0,0,3,5,Tashkent city,Mirzo-Ulugbek district,Akkurgan street,43.0,43.0
120,4,Requires repairs,Other,1,100000.0,1,3,9,Tashkent city,Sergeli district,Mirza Tursunzade Street,113.0,113.0
121,2,Euro renovation,Panel,0,74500.0,0,2,11,Tashkent city,Yunusabad district,Makhalinsky gathering of citizens of Yurtabad,56.0,56.0
122,3,Euro renovation,Brick,0,87555.0,1,4,4,Tashkent city,Chilanzar district,8th quarter,70.0,70.0
123,2,Medium,Brick,0,42500.0,0,3,3,Tashkent city,Mirzo-Ulugbek district,Avihon street,39.0,39.0
124,2,Rough finish,Monolythic,0,84263.36,0,10,11,Tashkent city,Mirabad district,Hamal Street,68.29,68.29
125,2,Rough finish,Monolythic,1,75243.52,0,8,11,Tashkent city,Mirabad district,Hamal Street,60.98,60.98
126,3,Euro renovation,Panel,1,80000.0,1,3,5,Tashkent city,Sergeli district,Makhalinsky gathering of citizens Halkobod,78.0,78.0
127,2,Rough finish,Block,0,58400.0,0,4,9,Tashkent city,Yashnobodsky district,residential complex Shanghai resident,73.0,73.0
128,2,Euro renovation,Brick,1,67800.0,1,3,4,Tashkent city,Yunusabad district,Bogishamol street,56.0,56.0
129,2,Euro renovation,Panel,1,68900.0,1,3,4,Tashkent city,Chilanzar district,2nd quarter,50.0,50.0
130,3,Euro renovation,Brick,1,125000.0,1,4,5,Tashkent city,Yashnobodsky district,residential complex Parkent Village,74.0,74.0
131,1,Rough finish,Monolythic,0,45888.92,0,4,11,Tashkent city,Mirabad district,Hamal Street,37.19,37.19
132,3,Euro renovation,Monolythic,1,180000.0,0,4,12,Tashkent city,Mirabad district,Street Nukus,128.0,128.0
133,3,Author's design,Brick,1,190000.0,0,6,10,Tashkent city,Yunusabad district,5th passage Nizbek Yuli,100.0,100.0
134,2,Euro renovation,Panel,1,96000.0,1,6,9,Tashkent city,Yunusabad district,Massive Kashgar,63.0,63.0
135,2,Euro renovation,Panel,1,69900.0,1,4,4,Tashkent city,Chilanzar district,Makhalinsky gathering of citizens of Qatartal,50.0,50.0
136,2,Euro renovation,Brick,1,81000.0,0,4,4,Tashkent city,Yunusabad district,Massive Kashgar,52.0,52.0
137,2,Rough finish,Monolythic,0,84263.36,0,10,11,Tashkent city,Mirabad district,Hamal Street,68.29,68.29
138,3,Author's design,Panel,0,90000.0,1,2,5,Tashkent city,Yashnobodsky district,1st quarter,78.0,78.0
139,4,Author's design,Brick,1,215000.0,1,8,10,Tashkent city,Yunusabad district,3rd passage Nizbek Yuli,116.0,116.0
140,3,Author's design,Panel,0,63500.0,0,3,4,Tashkent city,Chilanzar district,Makhalinsky gathering of Ak-Tepa citizens,45.0,45.0
141,2,Euro renovation,Panel,1,62750.0,1,3,4,Tashkent city,Chilanzar district,Makhalinsky gathering of Ak-Tepa citizens,50.0,50.0
142,3,Euro renovation,Brick,1,87000.0,0,4,4,Tashkent city,Chilanzar district,8th quarter,70.0,70.0
143,1,Rough finish,Monolythic,1,49837.42,0,10,11,Tashkent city,Mirabad district,Hamal Street,40.39,40.39
144,2,Medium,Brick,0,61000.0,0,3,5,Tashkent city,Mirzo-Ulugbek district,Akkurgan street,43.0,43.0
145,4,Requires repairs,Other,1,100000.0,1,3,9,Tashkent city,Sergeli district,Mirza Tursunzade Street,113.0,113.0
146,2,Euro renovation,Panel,0,74500.0,0,2,11,Tashkent city,Yunusabad district,Makhalinsky gathering of citizens of Yurtabad,56.0,56.0
147,3,Euro renovation,Brick,0,87555.0,1,4,4,Tashkent city,Chilanzar district,8th quarter,70.0,70.0
148,2,Medium,Brick,0,42500.0,0,3,3,Tashkent city,Mirzo-Ulugbek district,Avihon street,39.0,39.0
149,2,Euro renovation,Monolythic,1,72000.0,0,15,16,Tashkent city,Mirzo-Ulugbek district,Avihon street,76.6,76.6
150,1,Rough finish,Monolythic,1,49837.42,0,10,11,Tashkent city,Mirabad district,Hamal Street,40.39,40.39
151,3,Euro renovation,Panel,1,80000.0,1,3,5,Tashkent city,Sergeli district,Makhalinsky gathering of citizens Halkobod,78.0,78.0
152,2,Rough finish,Block,0,58400.0,0,4,9,Tashkent city,Yashnobodsky district,residential complex Shanghai resident,73.0,73.0
153,2,Euro renovation,Brick,1,67800.0,1,3,4,Tashkent city,Yunusabad district,Bogishamol street,56.0,56.0
154,2,Euro renovation,Panel,1,68900.0,1,3,4,Tashkent city,Chilanzar district,2nd quarter,50.0,50.0
155,3,Euro renovation,Brick,1,125000.0,1,4,5,Tashkent city,Yashnobodsky district,residential complex Parkent Village,74.0,74.0
156,3,Author's design,Panel,1,185000.0,1,8,9,Tashkent city,Mirabad district,Aybek Street,130.0,130.0
157,3,Euro renovation,Monolythic,1,180000.0,0,4,12,Tashkent city,Mirabad district,Street Nukus,128.0,128.0
158,3,Author's design,Brick,1,190000.0,0,6,10,Tashkent city,Yunusabad district,5th passage Nizbek Yuli,100.0,100.0
159,2,Euro renovation,Panel,1,96000.0,1,6,9,Tashkent city,Yunusabad district,Massive Kashgar,63.0,63.0
160,2,Euro renovation,Panel,1,69900.0,1,4,4,Tashkent city,Chilanzar district,Makhalinsky gathering of citizens of Qatartal,50.0,50.0
161,2,Euro renovation,Brick,1,81000.0,0,4,4,Tashkent city,Yunusabad district,Massive Kashgar,52.0,52.0
162,3,Euro renovation,Brick,0,90000.0,1,1,5,Tashkent city,Yunusabad district,Makhalinsky gathering of citizens Kushchinor,70.0,70.0
163,3,Author's design,Panel,0,90000.0,1,2,5,Tashkent city,Yashnobodsky district,1st quarter,78.0,78.0
164,4,Author's design,Brick,1,215000.0,1,8,10,Tashkent city,Yunusabad district,3rd passage Nizbek Yuli,116.0,116.0
165,3,Author's design,Panel,0,63500.0,0,3,4,Tashkent city,Chilanzar district,Makhalinsky gathering of Ak-Tepa citizens,45.0,45.0
166,2,Euro renovation,Panel,1,62750.0,1,3,4,Tashkent city,Chilanzar district,Makhalinsky gathering of Ak-Tepa citizens,50.0,50.0
167,3,Euro renovation,Brick,1,87000.0,0,4,4,Tashkent city,Chilanzar district,8th quarter,70.0,70.0
168,2,Euro renovation,Monolythic,1,72000.0,0,15,16,Tashkent city,Mirzo-Ulugbek district,Avihon street,76.6,76.6
169,2,Medium,Brick,0,61000.0,0,3,5,Tashkent city,Mirzo-Ulugbek district,Akkurgan street,43.0,43.0
170,4,Requires repairs,Other,1,100000.0,1,3,9,Tashkent city,Sergeli district,Mirza Tursunzade Street,113.0,113.0
171,2,Euro renovation,Panel,0,74500.0,0,2,11,Tashkent city,Yunusabad district,Makhalinsky gathering of citizens of Yurtabad,56.0,56.0
172,3,Euro renovation,Brick,0,87555.0,1,4,4,Tashkent city,Chilanzar district,8th quarter,70.0,70.0
173,2,Medium,Brick,0,42500.0,0,3,3,Tashkent city,Mirzo-Ulugbek district,Avihon street,39.0,39.0
174,5,Euro renovation,Brick,1,165000.0,1,5,6,Tashkent city,Orthodpinsky district,Makhalinsky gathering citizens,150.0,150.0
175,3,Author's design,Panel,1,185000.0,1,8,9,Tashkent city,Mirabad district,Aybek Street,130.0,130.0
176,3,Euro renovation,Panel,1,80000.0,1,3,5,Tashkent city,Sergeli district,Makhalinsky gathering of citizens Halkobod,78.0,78.0
177,2,Rough finish,Block,0,58400.0,0,4,9,Tashkent city,Yashnobodsky district,residential complex Shanghai resident,73.0,73.0
178,2,Euro renovation,Brick,1,67800.0,1,3,4,Tashkent city,Yunusabad district,Bogishamol street,56.0,56.0
179,2,Euro renovation,Panel,1,68900.0,1,3,4,Tashkent city,Chilanzar district,2nd quarter,50.0,50.0
180,3,Euro renovation,Brick,1,125000.0,1,4,5,Tashkent city,Yashnobodsky district,residential complex Parkent Village,74.0,74.0
181,1,Rough finish,Monolythic,1,49837.42,0,10,11,Tashkent city,Mirabad district,Hamal Street,40.39,40.39
182,3,Euro renovation,Monolythic,1,180000.0,0,4,12,Tashkent city,Mirabad district,Street Nukus,128.0,128.0
183,3,Author's design,Brick,1,190000.0,0,6,10,Tashkent city,Yunusabad district,5th passage Nizbek Yuli,100.0,100.0
184,2,Euro renovation,Panel,1,96000.0,1,6,9,Tashkent city,Yunusabad district,Massive Kashgar,63.0,63.0
185,2,Euro renovation,Panel,1,69900.0,1,4,4,Tashkent city,Chilanzar district,Makhalinsky gathering of citizens of Qatartal,50.0,50.0
186,2,Euro renovation,Brick,1,81000.0,0,4,4,Tashkent city,Yunusabad district,Massive Kashgar,52.0,52.0
187,5,Euro renovation,Brick,1,165000.0,1,5,6,Tashkent city,Orthodpinsky district,Makhalinsky gathering citizens,150.0,150.0
188,3,Author's design,Panel,0,90000.0,1,2,5,Tashkent city,Yashnobodsky district,1st quarter,78.0,78.0
189,4,Author's design,Brick,1,215000.0,1,8,10,Tashkent city,Yunusabad district,3rd passage Nizbek Yuli,116.0,116.0
190,3,Author's design,Panel,0,63500.0,0,3,4,Tashkent city,Chilanzar district,Makhalinsky gathering of Ak-Tepa citizens,45.0,45.0
191,2,Euro renovation,Panel,1,62750.0,1,3,4,Tashkent city,Chilanzar district,Makhalinsky gathering of Ak-Tepa citizens,50.0,50.0
192,3,Euro renovation,Brick,1,87000.0,0,4,4,Tashkent city,Chilanzar district,8th quarter,70.0,70.0
193,3,Euro renovation,Brick,0,90000.0,1,1,5,Tashkent city,Yunusabad district,Makhalinsky gathering of citizens Kushchinor,70.0,70.0
194,2,Medium,Brick,0,61000.0,0,3,5,Tashkent city,Mirzo-Ulugbek district,Akkurgan street,43.0,43.0
195,4,Requires repairs,Other,1,100000.0,1,3,9,Tashkent city,Sergeli district,Mirza Tursunzade Street,113.0,113.0
196,2,Euro renovation,Panel,0,74500.0,0,2,11,Tashkent city,Yunusabad district,Makhalinsky gathering of citizens of Yurtabad,56.0,56.0
197,3,Euro renovation,Brick,0,87555.0,1,4,4,Tashkent city,Chilanzar district,8th quarter,70.0,70.0
198,2,Medium,Brick,0,42500.0,0,3,3,Tashkent city,Mirzo-Ulugbek district,Avihon street,39.0,39.0
199,2,Euro renovation,Monolythic,1,72000.0,0,15,16,Tashkent city,Mirzo-Ulugbek district,Avihon street,76.6,76.6
200,2,Rough finish,Monolythic,1,65545.02,0,10,11,Tashkent city,Mirabad district,Hamal Street,53.12,53.12
201,3,Euro renovation,Panel,1,80000.0,1,3,5,Tashkent city,Sergeli district,Makhalinsky gathering of citizens Halkobod,78.0,78.0
202,2,Rough finish,Block,0,58400.0,0,4,9,Tashkent city,Yashnobodsky district,residential complex Shanghai resident,73.0,73.0
203,2,Euro renovation,Brick,1,67800.0,1,3,4,Tashkent city,Yunusabad district,Bogishamol street,56.0,56.0
204,2,Euro renovation,Panel,1,68900.0,1,3,4,Tashkent city,Chilanzar district,2nd quarter,50.0,50.0
205,3,Euro renovation,Brick,1,125000.0,1,4,5,Tashkent city,Yashnobodsky district,residential complex Parkent Village,74.0,74.0
206,5,Euro renovation,Brick,1,165000.0,1,5,6,Tashkent city,Orthodpinsky district,Makhalinsky gathering citizens,150.0,150.0
207,3,Euro renovation,Monolythic,1,180000.0,0,4,12,Tashkent city,Mirabad district,Street Nukus,128.0,128.0
208,3,Author's design,Brick,1,190000.0,0,6,10,Tashkent city,Yunusabad district,5th passage Nizbek Yuli,100.0,100.0
209,2,Euro renovation,Panel,1,96000.0,1,6,9,Tashkent city,Yunusabad district,Massive Kashgar,63.0,63.0
210,2,Euro renovation,Panel,1,69900.0,1,4,4,Tashkent city,Chilanzar district,Makhalinsky gathering of citizens of Qatartal,50.0,50.0
211,2,Euro renovation,Brick,1,81000.0,0,4,4,Tashkent city,Yunusabad district,Massive Kashgar,52.0,52.0
212,2,Euro renovation,Monolythic,1,72000.0,0,15,16,Tashkent city,Mirzo-Ulugbek district,Avihon street,76.6,76.6
213,3,Author's design,Panel,0,90000.0,1,2,5,Tashkent city,Yashnobodsky district,1st quarter,78.0,78.0
214,4,Author's design,Brick,1,215000.0,1,8,10,Tashkent city,Yunusabad district,3rd passage Nizbek Yuli,116.0,116.0
215,3,Author's design,Panel,0,63500.0,0,3,4,Tashkent city,Chilanzar district,Makhalinsky gathering of Ak-Tepa citizens,45.0,45.0
216,2,Euro renovation,Panel,1,62750.0,1,3,4,Tashkent city,Chilanzar district,Makhalinsky gathering of Ak-Tepa citizens,50.0,50.0
217,3,Euro renovation,Brick,1,87000.0,0,4,4,Tashkent city,Chilanzar district,8th quarter,70.0,70.0
218,1,Rough finish,Monolythic,1,42705.45,0,3,11,Tashkent city,Mirabad district,Hamal Street,34.61,34.61
